,Doc1,Doc2,Doc3,Doc4,Doc5
bright,0.0,0.0,0.0,0.13089867598202215,0.0
fast,0.0,0.10181008131935056,0.0,0.0,0.0
foxes,0.0,0.0,0.10181008131935056,0.0,0.0
blue,0.0,0.0,0.0,0.0,0.11453634148426939
brown,0.05675840264066563,0.0,0.05675840264066563,0.0,0.0
over,0.05675840264066563,0.0,0.05675840264066563,0.0,0.0
high,0.0,0.0,0.0,0.0,0.11453634148426939
lazy,0.05675840264066563,0.0,0.05675840264066563,0.0,0.0
dogs,0.0,0.0,0.10181008131935056,0.0,0.0
leap,0.0,0.0,0.10181008131935056,0.0,0.0
sky.,0.0,0.0,0.0,0.07297508910942724,0.06385320297074884
the,0.0,0.0,0.0,0.0,0.0
shines,0.0,0.0,0.0,0.13089867598202215,0.0
clear,0.0,0.0,0.0,0.0,0.11453634148426939
is,0.0,0.2036201626387011,0.0,0.0,0.0
cat,0.0,0.10181008131935056,0.0,0.0,0.0
dog,0.024793727923801082,0.024793727923801082,0.024793727923801082,0.0,0.0
sun,0.0,0.0,0.0,0.13089867598202215,0.0
birds,0.0,0.0,0.0,0.0,0.0
not.,0.0,0.10181008131935056,0.0,0.0,0.0
summer.,0.0,0.0,0.10181008131935056,0.0,0.0
fly,0.0,0.0,0.0,0.0,0.11453634148426939
fox,0.05675840264066563,0.0,0.05675840264066563,0.0,0.0
dog.,0.10181008131935056,0.0,0.0,0.0,0.0
jumps,0.10181008131935056,0.0,0.0,0.0,0.0
and,0.0,0.10181008131935056,0.0,0.0,0.0
in,0.0,0.0,0.024793727923801082,0.0637553003754885,0.02789294391427622
quick,0.10181008131935056,0.0,0.0,0.0,0.0
